単語,意味,例文,例文の訳,類義語,メモ
prolong,〔時間・期間・寿命などを〕長くする・（引き）延ばす,The farmer tried to prolong the life of his crops with extra care.,農民は作物の寿命を延ばそうと追加の手入れをした。,extend,
adequate,十分な・適切な・妥当な,The project did not have adequate resources to succeed.,プロジェクトには成功するのに十分な資源がなかった。,sufficient,
above all,そして何より・とりわけ,"Above all, safety should be the main concern in the laboratory.",そして何より、安全が実験室での主要な関心事であるべきだ。,most importantly,
little more than ~,〜に過ぎない,The building was little more than an old shed.,その建物は古い小屋に過ぎなかった。,only,
lime,石灰・ライムの実,The workers spread lime over the soil to improve fertility.,労働者たちは土壌の肥沃度を上げるために石灰をまいた。,chalk,
molten,溶かされた・融解された,The molten metal was poured into the mold carefully.,溶かされた金属は慎重に型に注がれた。,liquid,
mass,塊・多数,A large mass of ice blocked the river.,大きな氷の塊が川を塞いだ。,chunk,
harden,硬化する・固くする,The mixture will harden if left for several hours.,混合物は数時間放置すると硬化する。,solidify,
unblemished,傷のない・潔白な,She kept her unblemished reputation throughout her career.,彼女はキャリアを通じて傷のない評判を保った。,immaculate,
labor,"労働の
労働",Manual labor is still necessary in many factories.,多くの工場では今でも手作業の労働が必要である。,work,
intensive,集中的な,The course required intensive study to pass the exam.,試験に合格するには集中的な学習が必要だった。,focused,
continuously,継続的に・つながって,The machine works continuously without stopping.,機械は止まることなく継続的に作動する。,constantly,
virtually,事実上・実質的には,Virtual reality makes people feel virtually present in another world.,バーチャルリアリティは人々に別世界に事実上存在しているかのような感覚を与える。,practically,
tinted,薄い［淡い］色を付けられた、染めた,The windows were tinted to reduce sunlight.,窓には日光を減らすために薄い色が付けられていた。,colored,
altogether,完全に,He was altogether surprised by the sudden announcement.,突然の発表に彼は完全に驚いた。,completely,
tin,スズ,The can was made of tin and recycled metal.,その缶はスズとリサイクル金属で作られていた。,metal,
underside,下側・底面,The underside of the bridge was inspected for cracks.,橋の下側はひび割れがないか点検された。,bottom,
settle,落ち着く・定住する・解決する・沈む,They settled the dispute after a long discussion.,長い議論の後、彼らは争いを解決した。,resolve,
surface tension,表面張力,Surface tension allows small insects to walk on water.,表面張力によって小さな昆虫が水の上を歩ける。,tension,
interaction,相互作用,The interaction between the chemicals caused a reaction.,化学物質同士の相互作用が反応を引き起こした。,relation,
coincidence,偶然・一致,It was a coincidence that they met at the same café.,同じカフェで会ったのは偶然だった。,chance,
convince,説得する・納得する・確信する,She tried to convince her friend to join the trip.,彼女は友人を旅行に誘うよう説得しようとした。,persuade,
marketable,市場性のある・需要がある・人気がある,The product is highly marketable in urban areas.,その製品は都市部で非常に需要がある。,sellable,
optical,光の・光学式の,Optical instruments help scientists observe distant stars.,光学機器は科学者が遠くの星を観察するのに役立つ。,visual,
refining,精製,The refinery is responsible for refining crude oil.,精油所は原油を精製する責任がある。,processing,
homogenize,均質化する,They homogenize the milk to prevent separation.,牛乳を均質化して分離を防ぐ。,standardize,
furnace,かまど・溶鉱炉,The furnace heated the metal until it melted.,かまどは金属を溶かすまで加熱した。,oven,
treatment,処理・取り扱い・治療,The treatment of the disease requires patience.,その病気の治療には忍耐が必要だ。,therapy,
submilimeter,ミリメートル未満の,The microscope can measure submillimeter objects.,顕微鏡でミリメートル未満の物体を測定できる。,tiny,
mar,〔完全さを〕損なう・台無しにする,Scratches can mar the surface of the painting.,傷は絵画の表面を台無しにすることがある。,damage,
inclusion,包含・内包物・含めること,The inclusion of illustrations helped explain the topic.,図解を含めることでトピックの説明が助けられた。,addition,
grain,粒,The grain of rice was small but healthy.,米の粒は小さいが健康的だった。,kernel,
tremor,揺れ・震え・弱い地震,The earthquake caused a slight tremor in the city.,地震で都市にわずかな揺れがあった。,shake,
ripple,"波紋
さざ波が立つ",The stone created ripples in the pond.,石が池に波紋を作った。,wave,
upstream,上流の,Upstream areas are less affected by pollution.,上流地域は汚染の影響をあまり受けない。,upper stream,
locate,見つける・特定する・置く,They locate the source of the problem quickly.,彼らは問題の原因をすぐに特定した。,identify,
flaw,欠陥・不具合,A flaw in the plan caused delays.,計画の欠陥が遅れを引き起こした。,defect,
the unaided eye,裸眼・肉眼,Some details are visible to the unaided eye.,一部の細かい部分は裸眼で見える。,naked eye,
steer,操縦する・コントロールする,The captain must steer the ship carefully.,船長は慎重に船を操縦しなければならない。,guide,
shift,"変化・交代
変える",The company decided to shift production overseas.,会社は生産を海外に移すことを決定した。,change,
climatic,気候的な・気候の,Climatic changes affect agriculture globally.,気候の変化は世界的に農業に影響を与える。,weather-related,
embark,"着手する・乗り出す
引き込む・参加させる",They embarked on a new research project last month.,彼らは先月新しい研究プロジェクトに着手した。,start,
mercy,慈悲・情け・幸運・緩和,Mercy allowed the prisoner to leave early.,慈悲によって囚人は早く釈放された。,compassion,
at the mercy of ~, 「〜の支配下にある」・「〜に翻弄される」,The ship was at the mercy of strong waves.,その船は強い波の支配下にあった。,under control of,
glacial,氷河の・氷河期の,Glacial movements shaped the valley over centuries.,氷河の動きが何世紀にもわたって谷を形成した。,ice,
yet,「しかしそれにもかかわらず」,"Yet, they continued working despite the difficulties.",それにもかかわらず、彼らは困難にも関わらず作業を続けた。,still,「驚き」や「予想外」のニュアンスを含む
dazzling,目を見張るような・非常に明るい・まぶしい・魅力的な,The diamonds were dazzling under the light.,ダイヤモンドは光の下でまぶしかった。,bright,
opportunism,日和見主義,Opportunism can harm long-term relationships.,日和見主義は長期的な関係を損なう可能性がある。,self-interest,日和見主義とは、「ある定まった考えに基づいて行動するのではなく、形勢を見て有利な側方に追従しよう」という考え方のこと
drought,干ばつ,The drought destroyed many crops in the region.,干ばつが地域の多くの作物を破壊した。,lack of rain,
unaccustomed,不慣れな・異常な,He felt unaccustomed to the cold weather.,彼は寒さに不慣れだと感じた。,unfamiliar,
stock raising,牧畜,Stock raising is common in rural areas.,牧畜は田舎地域で一般的である。,animal husbandry,
revolutionize,革命的に変化させる,Technology continues to revolutionize communication.,技術は通信を革命的に変え続けている。,transform,
americas,アメリカ大陸,The Americas include North and South America.,アメリカ大陸には北アメリカと南アメリカが含まれる。,continent,
bitterly,ひどく・激しく,The team bitterly regretted losing the match.,チームは試合に負けたことをひどく後悔した。,angrily,
much of the year,一年の大半,Much of the year is spent preparing for exams.,一年の大半は試験準備に費やされる。,most of the year,
do more than + 動詞の原形,単に〜するだけでなく、それ以上のことをする,Teachers do more than teach; they mentor students.,教師は単に教えるだけでなく、学生を指導する。,do more than,
shape,形づくる,Exercise can shape a healthy body.,運動は健康的な体を形づくる。,form,
unprecedented,前例のない・異例の,The event was unprecedented in its scale.,そのイベントは規模において前例のないものだった。,extraordinary,
context,状況・背景,The context of the speech clarified its meaning.,スピーチの状況が意味を明確にした。,background,
rather,どちらかといえば・むしろ,"Rather than complain, he tried to solve the problem.",不満を言うよりも、彼は問題を解決しようとした。,rather than,
intensely,極度に・激しく,She studied intensely for the final exam.,彼女は期末試験のために激しく勉強した。,very,
abruptly,突然・急に,The train stopped abruptly at the station.,電車は駅で突然止まった。,suddenly,
reconstruct,再建する・再構成する・復元する,They plan to reconstruct the old building.,彼らは古い建物を再建する予定だ。,rebuild,
tropical,熱帯の・非常に暑い,Tropical plants grow well in warm climates.,熱帯の植物は暖かい気候でよく育つ。,hot,
proxy,代理・代理人・代理委任状,A proxy represented him at the meeting.,代理人が会議で彼を代表した。,representative,
largely,主に・大部分は,The problem was largely solved by the team.,問題は主にチームによって解決された。,mainly,
hemisphere,半球・範囲,The northern hemisphere experiences winter in December.,北半球は12月に冬を迎える。,half,
amplify,増幅させる・増強する,Speakers amplify their voices with microphones.,スピーカーはマイクで声を増幅する。,increase,
antarctica,南極・南極大陸,Antarctica is the coldest continent on Earth.,南極は地球で最も寒い大陸である。,antarctic,
narrative,"物語
物語風の",The book told a narrative of ancient heroes.,その本は古代の英雄の物語を語った。,story,
norse,古代スカンジナビアの・ノルウェーの,Norse mythology includes many gods and creatures.,ノルウェー神話には多くの神々と生き物が登場する。,scandinavian,
uniform,均一な・一様な・不変の,The soldiers wore uniform clothes during training.,兵士たちは訓練中に制服を着た。,identical,
as always,いつもそうだったように・いつもと同じ様に,"As always, he arrived on time.",いつもそうだったように、彼は時間通りに到着した。,as usual,
about,おおよそ,The journey took about three hours.,旅はおおよそ3時間かかった。,approximately,
arctic,北極の,Arctic ice is melting due to climate change.,北極の氷は気候変動で溶けている。,polar,
ice pack,氷床・氷嚢,The ice pack drifted slowly in the sea.,氷床はゆっくりと海に漂った。,glacier,
southward,"南に向かって
南向きの",The birds flew southward for the winter.,鳥たちは冬に南に向かって飛んだ。,toward south,
atlantic,"大西洋
大西洋の",The Atlantic Ocean is very large.,大西洋は非常に広い。,ocean,
storminess,〔嵐のような〕荒々しさ、激しさ,Storminess can make sea travel dangerous.,嵐の荒々しさは海上の移動を危険にすることがある。,roughness,
descend on,〜に降りかかる・〜を襲う・〜に押し寄せる,The storm will descend on the city tonight.,嵐は今夜都市を襲うだろう。,attack,
perish,滅びる・消滅する,Many species may perish if the habitat is destroyed.,生息地が破壊されると多くの種が滅びるかもしれない。,die,
decidedly,明らかに・決定的に,The results were decidedly better than expected.,結果は期待よりも明らかに良かった。,clearly,
culminate,（最高点に）達する,The ceremony will culminate in a large celebration.,式典は大きな祝典で最高点に達する予定だ。,peak,
commodity,日用品・商品,Coffee is a common commodity worldwide.,コーヒーは世界中で一般的な商品である。,product,
cod,タラ,Cod is a popular fish in northern countries.,タラは北部の国で人気のある魚だ。,fish,
herring,ニシン,Herring is used in traditional dishes.,ニシンは伝統料理に使われる。,fish,
staple,"食糧・不可欠な要素・必需品
主要な",Wheat is a staple food in many countries.,小麦は多くの国で主食である。,essential,
fleet,船団・船隊,The navy deployed a fleet of ships.,海軍は船団を配備した。,navy,
gradual,緩やかな・徐々の,Climate change causes gradual shifts in weather.,気候変動は緩やかな天候の変化を引き起こす。,slow,
stem from,～から生じる［起こる］・～に原因がある,Problems often stem from poor communication.,問題はしばしばコミュニケーション不足から生じる。,come from,
growing,栽培,The farmer is growing vegetables in the field.,農民は畑で野菜を栽培している。,cultivating,
fodder,飼料・（新聞記事などの）素材・ネタ,Corn is used as fodder for livestock.,トウモロコシは家畜の飼料として使われる。,feed,
self-sufficient,自給自足できる,Many families aim to be self-sufficient.,多くの家族は自給自足を目指している。,independent,
livestock,家畜,Livestock needs proper care and food.,家畜は適切な世話と餌が必要である。,animals,
modern,現代の・今の,Modern technology improves our daily life.,現代の技術は私たちの日常生活を向上させる。,current,
land-hungry,〔農民・移住者などが〕土地に飢えた,Land-hungry farmers moved to new territories.,土地に飢えた農民は新しい土地に移動した。,land-hungry,
blight,胴枯れ病・疫病・〔やる気・希望などを〕くじくもの,The blight ruined the crops quickly.,疫病が作物をすぐに駄目にした。,disease,
hectare,ヘクタール,The farm covers ten hectares.,農場は10ヘクタールの広さである。,hectare,
ax,おの,He chopped wood with an ax.,彼はおので木を切った。,hatchet,
land clearance,土地開拓,Land clearance allowed more crops to grow.,土地開拓によりより多くの作物を育てることができた。,land development,
